"Reference","Value","Footprint","MPN","Description","QUANTITY"
"C1","10uF/25V","Capacitor_SMD:C_0805_2012Metric","","Decouplage entree buck","1"
"C2,C3,C6,C9,C12,C14,C16-C19","100nF","Capacitor_SMD:C_0402_1005Metric","","Condensateur bootstrap SW->BST,Decouplage AVDDVCSEL,Decouplage HF 3V3 du module,Decouplage HF AVDD ToF,Decouplage HF VDD ampli,Decouplage HF VDD carte SD,Decouplage HF entree buck,Decouplage HF sortie 3.3 V,Decouplage VDD accelero,Decouplage VDD_IO accelero","10"
"C4,C5,C7,C8,C13","22uF/10V","Capacitor_SMD:C_0805_2012Metric","","Reservoir 3V3 du module,Reservoir 5 V,Reservoir VDD ampli,Reservoir sortie 3.3 V","5"
"C10","1uF","Capacitor_SMD:C_0402_1005Metric","","Retard RC sur EN","1"
"C11,C15","10uF/10V","Capacitor_SMD:C_0805_2012Metric","","Reservoir AVDD ToF,Reservoir VDD carte SD","2"
"D1","USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6","USBLC6-2SC6","Reseau de protection ESD 2 lignes USB","1"
"F1","1.1A","Fuse:Fuse_0805_2012Metric","MF-MSMF110-2","Fusible reamorcable PPTC, Ihold 1.1 A","1"
"FB1","600R@100MHz","Inductor_SMD:L_0805_2012Metric","BLM21PG600SN1D","Perle de ferrite : isole le rail de l'ampli","1"
"J1","USB-C","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","TYPE-C-31-M-12","Prise USB-C 2.0, 16 pts, montage CMS","1"
"J2","ECRAN QSPI","Connector_JST:JST_SH_BM14B-SRSS-TB_1x14-1MP_P1.00mm_Vertical","BM14B-SRSS-TB","Connecteur ecran AMOLED QSPI, JST-SH 1.0 mm 14 pts","1"
"J3","microSD","Connector_Card:microSD_HC_Molex_104031-0811","104031-0811","Lecteur microSD push-pull avec detection de carte","1"
"J4","HP","Connector_JST:JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical","BM02B-SRSS-TB","Sortie haut-parleur 4-8 ohms","1"
"J5","I2C EXT","Connector_JST:JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical","BM04B-SRSS-TB","Port I2C deporte (compatible Qwiic/STEMMA-QT)","1"
"J6","DEBUG","Connector_PinHeader_1.27mm:PinHeader_1x06_P1.27mm_Vertical","","UART0 + BOOT + EN (secours si USB natif indisponible)","1"
"L1","2.2uH/3A","Inductor_SMD:L_Taiyo-Yuden_NR-40xx","NR4018T2R2M","Inductance de puissance blindee 4x4 mm","1"
"R1,R2","5.1k","Resistor_SMD:R_0402_1005Metric","","Rd CC1 (role device),Rd CC2 (role device)","2"
"R3,R13","100k","Resistor_SMD:R_0402_1005Metric","","Rappel bas SD_MODE : ampli eteint au boot,Tirage EN du buck vers VIN","2"
"R4,R5,R7-R12,R15,R16","10k","Resistor_SMD:R_0402_1005Metric","","Tirage INT (drain ouvert),Tirage SD_CMD,Tirage SD_D0,Tirage SD_D1,Tirage SD_D2,Tirage SD_D3,Tirage XSHUT,Tirage detection de carte,Tirage haut de EN,Tirage haut de IO0 (BOOT)","10"
"R6,R19","0R","Resistor_SMD:R_0402_1005Metric","","Adresse accelero : 0R vers GND = 0x18, vers +3V3 = 0x19,Serie sur LCD_SCK - monter 22R si sonnerie","2"
"R14","DNP","Resistor_SMD:R_0402_1005Metric","","Selection de gain : vide=9 dB, 100k vers GND=12 dB","1"
"R17,R18","4.7k","Resistor_SMD:R_0402_1005Metric","","Tirage I2C SCL,Tirage I2C SDA","2"
"SW1","RESET","Button_Switch_SMD:SW_SPST_B3U-1000P","B3U-1000P","Bouton RESET (EN vers GND)","1"
"SW2","BOOT","Button_Switch_SMD:SW_SPST_B3U-1000P","B3U-1000P","Bouton BOOT (IO0 vers GND)","1"
"U1","AP63203WU","Package_TO_SOT_SMD:TSOT-23-6","AP63203WU-7","Buck synchrone 2 A, 1.1 MHz, sortie 3.3 V fixe","1"
"U2","ESP32-S3-WROOM-1U-N16R8","RF_Module:ESP32-S3-WROOM-1U","ESP32-S3-WROOM-1U-N16R8","MCU WiFi/BLE, 16 MB flash, 8 MB PSRAM octale, antenne U.FL","1"
"U3","MAX98357A","Package_DFN_QFN:TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm","MAX98357AETE+T","Ampli classe D I2S mono 3.2 W","1"
"U4","VL53L1X","Sensor_Distance:ST_VL53L1x","VL53L1CXV0FY/1","Telemetre ToF laser 4 m, I2C 0x29","1"
"U5","LIS3DH","Package_LGA:LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y","LIS3DHTR","Accelerometre 3 axes, I2C 0x18 (SDO=GND)","1"
