Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF/25V","C_0805_2012Metric",14.000000,8.500000,90.000000,top
"C2","100nF","C_0402_1005Metric",13.900000,5.000000,0.000000,top
"C3","100nF","C_0402_1005Metric",9.500000,12.500000,0.000000,top
"C4","22uF/10V","C_0805_2012Metric",1.300000,13.250000,90.000000,top
"C5","22uF/10V","C_0805_2012Metric",4.200000,13.000000,0.000000,top
"C6","100nF","C_0402_1005Metric",1.500000,6.150000,0.000000,top
"C7","22uF/10V","C_0805_2012Metric",17.000000,8.500000,90.000000,top
"C8","22uF/10V","C_0805_2012Metric",13.500000,13.950000,0.000000,top
"C9","100nF","C_0402_1005Metric",16.500000,14.500000,0.000000,top
"C10","1uF","C_0402_1005Metric",37.500000,6.650000,0.000000,top
"C11","10uF/10V","C_0805_2012Metric",2.000000,19.250000,90.000000,top
"C12","100nF","C_0402_1005Metric",4.500000,20.450000,0.000000,top
"C13","22uF/10V","C_0805_2012Metric",45.000000,34.000000,90.000000,top
"C14","100nF","C_0402_1005Metric",45.000000,30.000000,90.000000,top
"C15","10uF/10V","C_0805_2012Metric",34.000000,49.000000,0.000000,top
"C16","100nF","C_0402_1005Metric",31.000000,46.000000,0.000000,top
"C17","100nF","C_0402_1005Metric",25.000000,46.000000,0.000000,top
"C18","100nF","C_0402_1005Metric",7.500000,49.500000,0.000000,top
"C19","100nF","C_0402_1005Metric",7.500000,47.000000,0.000000,top
"D1","USBLC6-2SC6","SOT-23-6",32.850000,9.700000,0.000000,top
"F1","1.1A","Fuse_0805_2012Metric",16.750000,4.500000,0.000000,top
"FB1","600R@100MHz","L_0805_2012Metric",40.000000,35.500000,0.000000,top
"J1","USB-C","USB_C_Receptacle_HRO_TYPE-C-31-M-12",24.000000,2.500000,0.000000,top
"J2","ECRAN QSPI","JST_SH_BM14B-SRSS-TB_1x14-1MP_P1.00mm_Vertical",24.000000,41.500000,0.000000,top
"J3","microSD","microSD_HC_Molex_104031-0811",7.200000,28.000000,-90.000000,top
"J4","HP","JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical",43.500000,20.000000,90.000000,top
"J5","I2C EXT","JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical",4.000000,39.000000,-90.000000,top
"J6","DEBUG","PinHeader_1x06_P1.27mm_Vertical",36.700000,14.850000,0.000000,top
"L1","2.2uH/3A","L_Taiyo-Yuden_NR-40xx",4.000000,9.100000,0.000000,top
"R1","5.1k","R_0402_1005Metric",29.000000,13.000000,0.000000,top
"R2","5.1k","R_0402_1005Metric",31.500000,13.000000,0.000000,top
"R3","100k","R_0402_1005Metric",13.000000,12.250000,0.000000,top
"R4","10k","R_0402_1005Metric",33.950000,7.300000,0.000000,top
"R5","10k","R_0402_1005Metric",40.500000,10.000000,0.000000,top
"R6","0R","R_0402_1005Metric",36.500000,42.000000,0.000000,top
"R7","10k","R_0402_1005Metric",1.500000,16.850000,0.000000,top
"R8","10k","R_0402_1005Metric",1.500000,15.650000,0.000000,top
"R9","10k","R_0402_1005Metric",4.500000,18.500000,0.000000,top
"R10","10k","R_0402_1005Metric",4.500000,17.000000,0.000000,top
"R11","10k","R_0402_1005Metric",7.500000,18.500000,0.000000,top
"R12","10k","R_0402_1005Metric",7.500000,17.000000,0.000000,top
"R13","100k","R_0402_1005Metric",40.000000,26.000000,0.000000,top
"R14","DNP","R_0402_1005Metric",40.000000,24.000000,0.000000,top
"R15","10k","R_0402_1005Metric",22.000000,49.000000,0.000000,top
"R16","10k","R_0402_1005Metric",22.000000,47.000000,0.000000,top
"R17","4.7k","R_0402_1005Metric",16.000000,45.500000,0.000000,top
"R18","4.7k","R_0402_1005Metric",19.000000,45.500000,0.000000,top
"R19","0R","R_0402_1005Metric",16.000000,49.000000,0.000000,top
"SW1","RESET","SW_SPST_B3U-1000P",34.500000,4.250000,0.000000,top
"SW2","BOOT","SW_SPST_B3U-1000P",39.500000,4.250000,0.000000,top
"U1","AP63203WU","TSOT-23-6",9.500000,9.000000,0.000000,top
"U2","ESP32-S3-WROOM-1U-N16R8","ESP32-S3-WROOM-1U",24.000000,25.500000,0.000000,top
"U3","MAX98357A","TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm",40.500000,31.000000,0.000000,top
"U4","VL53L1X","ST_VL53L1x",28.000000,49.400000,0.000000,top
"U5","LIS3DH","LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y",12.000000,48.500000,0.000000,top
